ID,Name,Size,MRP,Sale Price,URL
357,SBL Tonicard Gold Drop Homeopathic Medicine,30 ml,₹205,₹199,https://www.1mg.com/otc/sbl-tonicard-gold-drop-homeopathic-medicine-otc329005
358,Dr. Reckeweg Crataegus Mother Tincture Q,20 ml,₹270,₹254,https://www.1mg.com/otc/dr.-reckeweg-crataegus-mother-tincture-q-otc327757
359,Dr Willmar Schwabe India Aesculus Pentarkan Drop,30 ml,₹190,₹165,https://www.1mg.com/otc/dr-willmar-schwabe-india-aesculus-pentarkan-drop-otc327655
360,SBL Ipecacuanha Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-ipecacuanha-dilution-30-ch-otc338318
361,SBL Gelsemium Sempervirens Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-gelsemium-sempervirens-dilution-30-ch-otc338332
362,ADEL 83 Bronchi-Pertu Syrup,150 ml,₹520,₹489,https://www.1mg.com/otc/adel-83-bronchi-pertu-syrup-otc326054
363,Dr Willmar Schwabe India Bacopa Monnieri Brahmi Mother Tincture Q,30 ml,₹125,₹106,https://www.1mg.com/otc/dr-willmar-schwabe-india-bacopa-monnieri-brahmi-mother-tincture-q-otc390812
364,SBL Ruta Graveolens Dilution 30 CH,30 ml,₹100,₹94.5,https://www.1mg.com/otc/sbl-ruta-graveolens-dilution-30-ch-otc338301
365,SBL Alfalfa Mother Tincture Q,30 ml,₹105,₹93,https://www.1mg.com/otc/sbl-alfalfa-mother-tincture-q-otc338527
366,SBL Withania Somnifera Mother Tincture Q,30 ml,₹105,₹101,https://www.1mg.com/otc/sbl-withania-somnifera-mother-tincture-q-otc338405
367,SBL Thiosinaminum Trituration Tablet 3X,25 gm,₹175,₹165,https://www.1mg.com/otc/sbl-thiosinaminum-trituration-tablet-3x-otc338959
368,SBL Sepia Dilution 200 CH,30 ml,₹115,₹105,https://www.1mg.com/otc/sbl-sepia-dilution-200-ch-otc348706
369,Dr. Reckeweg Arnica Mont Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-dilution-30-ch-otc326893
370,SBL Alfalfa Tonic with Ginseng,115 ml,₹130,₹125,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-otc328975
371,Dr. Reckeweg Thyroidinum Trituration Tablet 3X,20 gm,₹255,₹240,https://www.1mg.com/otc/dr.-reckeweg-thyroidinum-trituration-tablet-3x-otc326928
372,SBL Tonsilat Tablet,25 gm,₹165,₹155,https://www.1mg.com/otc/sbl-tonsilat-tablet-otc329027
373,SBL Bio-Combination 28 Tablet,25 gm,₹110,₹105,https://www.1mg.com/otc/sbl-bio-combination-28-tablet-otc331081
374,Dr. Reckeweg R70 Neuralgia Drop,22 ml,₹285,₹248,https://www.1mg.com/otc/dr.-reckeweg-r70-neuralgia-drop-otc326000
375,Dr. Reckeweg Ginseng Mother Tincture Q,20 ml,₹315,₹306,https://www.1mg.com/otc/dr.-reckeweg-ginseng-mother-tincture-q-otc327739
376,ADEL 5 Apo-Stom Drop,20 ml,₹310,₹248,https://www.1mg.com/otc/adel-5-apo-stom-drop-otc326118
377,SBL Blatta Orientalis Mother Tincture Q,30 ml,₹150,₹141,https://www.1mg.com/otc/sbl-blatta-orientalis-mother-tincture-q-otc338511
378,Dr. Reckeweg Silicea Dilution 30 CH,11 ml,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-silicea-dilution-30-ch-otc326436
379,Dr Willmar Schwabe India Zauber Hair Drop,30 ml,₹195,₹170,https://www.1mg.com/otc/dr-willmar-schwabe-india-zauber-hair-drop-otc784654
380,Medisynth Wartex Forte Drop,30 ml,₹175,₹159,https://www.1mg.com/otc/medisynth-wartex-forte-drop-otc339293
381,SBL Abroma Augusta Mother Tincture Q,30 ml,₹105,₹91.4,https://www.1mg.com/otc/sbl-abroma-augusta-mother-tincture-q-otc338537
382,SBL Cantharis Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-cantharis-dilution-30-ch-otc338356
383,Hapdco Mensol Tonic,450 ml,₹310,₹291,https://www.1mg.com/otc/hapdco-mensol-tonic-otc386135
384,SBL Kalmegh Syrup,115 ml,₹115,₹100,https://www.1mg.com/otc/sbl-kalmegh-syrup-otc331014
385,Adven Sinus-Gold Drop,30 ml,₹175,₹150,https://www.1mg.com/otc/adven-sinus-gold-drop-otc328954
386,Dr. S.C.Deb's Rheumalin Forte Tablet with Calcium Supplement Tablet,30 gm,₹190,₹182,https://www.1mg.com/otc/dr.-s.c.deb-s-rheumalin-forte-tablet-with-calcium-supplement-tablet-otc797245
387,SBL Gelsemium Sempervirens Dilution 200 CH,30 ml,₹115,₹109,https://www.1mg.com/otc/sbl-gelsemium-sempervirens-dilution-200-ch-otc346631
388,SBL Five Phos A+ Nerve Tonic,115 ml,₹130,₹126,https://www.1mg.com/otc/sbl-five-phos-a-nerve-tonic-otc396895
389,Medisynth Jondila Forte Syrup,450 ml,₹320,₹301,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
390,SBL Thyroidinum Trituration Tablet 6X,25 gm,₹175,₹165,https://www.1mg.com/otc/sbl-thyroidinum-trituration-tablet-6x-otc338955
391,SBL Aesculus Hippocastanum Dilution 30 CH,30 ml,₹100,₹95,https://www.1mg.com/otc/sbl-aesculus-hippocastanum-dilution-30-ch-otc345707
392,Dr Willmar Schwabe India Damiana Mother Tincture Q,30 ml,₹150,₹134,https://www.1mg.com/otc/dr-willmar-schwabe-india-damiana-mother-tincture-q-otc390932
393,SBL Caladium Seguinum Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-200-ch-otc346066
394,Dr. Reckeweg Bio-Combination 28 (BC 28) Tablet,20 gm,₹200,₹171,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-28-bc-28-tablet-otc326253
395,ADEL 29 Akutur Drop,20 ml,₹295,₹277,https://www.1mg.com/otc/adel-29-akutur-drop-otc326091
396,SBL Arnica Ointment,25 gm,₹75,₹66,https://www.1mg.com/otc/sbl-arnica-ointment-otc330983
397,SBL Robinia Pseudacacia Dilution 30 CH,30 ml,₹100,₹90,https://www.1mg.com/otc/sbl-robinia-pseudacacia-dilution-30-ch-otc348603
398,Dr. Reckeweg Damiana Mother Tincture Q,20 ml,₹270,₹229,https://www.1mg.com/otc/dr.-reckeweg-damiana-mother-tincture-q-otc327754
399,SBL Allium Sativum Mother Tincture Q,30 ml,₹105,₹93,https://www.1mg.com/otc/sbl-allium-sativum-mother-tincture-q-otc338524
400,SBL Cantharis Mother Tincture Q,30 ml,₹330,₹297,https://www.1mg.com/otc/sbl-cantharis-mother-tincture-q-otc338508
401,Dr. Reckeweg R88 Anti Viral Drop,30 ml,₹330,₹304,https://www.1mg.com/otc/dr.-reckeweg-r88-anti-viral-drop-otc326061
402,Medisynth Gasgan Forte Drop,30 ml,₹175,₹159,https://www.1mg.com/otc/medisynth-gasgan-forte-drop-otc339287
403,Bakson's Homeopathy Homoeopathic Formula 'D' Tablet,200 tablets,₹500,₹376,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-d-tablet-otc502827
404,Allen A15 Indigestion Gas & Acidity Drop,30 ml,₹170,₹158,https://www.1mg.com/otc/allen-a15-indigestion-gas-acidity-drop-otc330266
405,SBL Spongia Tosta Dilution 30 CH,30 ml,₹100,₹90,https://www.1mg.com/otc/sbl-spongia-tosta-dilution-30-ch-otc338223
406,SBL Calcarea Carbonica Dilution 30 CH,30 ml,₹100,₹92.5,https://www.1mg.com/otc/sbl-calcarea-carbonica-dilution-30-ch-otc338361
407,Bjain Berberis Vulgaris Mother Tincture Q,100 ml,₹195,₹129,https://www.1mg.com/otc/bjain-berberis-vulgaris-mother-tincture-q-otc444655
408,Bakson's Homeopathy Rheum Aid Tablet,75 tablets,₹215,₹182,https://www.1mg.com/otc/bakson-s-homeopathy-rheum-aid-tablet-otc402192
409,SBL Thuja Occidentalis Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-30-ch-otc338171
410,Dr. Reckeweg Bacopa Monnieri (Brahmi) Mother Tincture Q,20 ml,₹270,₹236,https://www.1mg.com/otc/dr.-reckeweg-bacopa-monnieri-brahmi-mother-tincture-q-otc327794
411,ADEL 11 Defaeton Drop,20 ml,₹295,₹271,https://www.1mg.com/otc/adel-11-defaeton-drop-otc326112
412,SBL Justicia Adhatoda Dilution 30 CH,30 ml,₹100,₹92.5,https://www.1mg.com/otc/sbl-justicia-adhatoda-dilution-30-ch-otc348017
413,SBL Carica Papaya Mother Tincture Q,30 ml,₹105,₹101,https://www.1mg.com/otc/sbl-carica-papaya-mother-tincture-q-otc338506
414,Boericke and Tafel Hair Growth Oil,200 ml,₹180,₹167,https://www.1mg.com/otc/boericke-and-tafel-hair-growth-oil-otc388296
415,Dr. Reckeweg Rauwolfia Serp Mother Tincture Q,20 ml,₹360,₹317,https://www.1mg.com/otc/dr.-reckeweg-rauwolfia-serp-mother-tincture-q-otc327530
416,Bakson's Homeopathy Natrum Muriaticum Biochemic Tablet 6X,20 ml,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-natrum-muriaticum-biochemic-tablet-6x-otc695234
417,ADEL 51 Psy-Stabil Drop,20 ml,₹295,₹256,https://www.1mg.com/otc/adel-51-psy-stabil-drop-otc327724
418,Allen Xcite Dum Drop,30 ml,₹399,₹325,https://www.1mg.com/otc/allen-xcite-dum-drop-otc330390
419,Allen A82 Premature Greying Of Hair Drop,30 ml,₹170,₹151,https://www.1mg.com/otc/allen-a82-premature-greying-of-hair-drop-otc330331
420,SBL Acidum Phosphoricum Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-acidum-phosphoricum-dilution-30-ch-otc338402
421,SBL Nuphar Lutea Mother Tincture Q,30 ml,₹330,₹297,https://www.1mg.com/otc/sbl-nuphar-lutea-mother-tincture-q-otc338439
422,Bhargava Garcinia Cambogia Drop,30 ml,₹385,₹281,https://www.1mg.com/otc/bhargava-garcinia-cambogia-drop-otc388385
423,Bakson's Homeopathy Kali Phosphoricum Biochemic Tablet 6X,30 ml,₹720,₹521,https://www.1mg.com/otc/bakson-s-homeopathy-kali-phosphoricum-biochemic-tablet-6x-otc695198
424,Dr. Reckeweg Phytolacca Berry Mother Tincture Q,20 ml,₹315,₹300,https://www.1mg.com/otc/dr.-reckeweg-phytolacca-berry-mother-tincture-q-otc327404
425,Bakson's Homeopathy Mig Aid Tablet,200 tablets,₹500,₹360,https://www.1mg.com/otc/bakson-s-homeopathy-mig-aid-tablet-otc502878
426,Bakson's Homeopathy Calcarea Fluorica Biochemic Tablet 12X,200 tablets,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-fluorica-biochemic-tablet-12x-otc697440
427,Dr Willmar Schwabe Germany Essentia Aurea Gold Drop,20 ml,₹330,₹317,https://www.1mg.com/otc/dr-willmar-schwabe-germany-essentia-aurea-gold-drop-otc327186
428,Bakson's Homeopathy Natrum Phosphoricum Biochemic Tablet 6X,20 ml,₹720,₹696,https://www.1mg.com/otc/bakson-s-homeopathy-natrum-phosphoricum-biochemic-tablet-6x-otc695243
429,SBL Quality Globules (Grade Sugar 30),450 gm,₹720,MRP₹200,https://www.1mg.com/otc/sbl-quality-globules-grade-sugar-30-otc342087
430,Bakson's Homeopathy Kali Phosphoricum Biochemic Tablet 30X,450 gm,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-kali-phosphoricum-biochemic-tablet-30x-otc695194
431,ADEL 26 Oss-Regen Drop,20 ml,₹310,₹263,https://www.1mg.com/otc/adel-26-oss-regen-drop-otc326094
432,Homoeo Laboratories Den-Tonic Teething Pills,10 gm,₹100,₹89,https://www.1mg.com/otc/homoeo-laboratories-den-tonic-teething-pills-otc498886
433,Bakson's Homeopathy Biocombination 28 Tablet,10 gm,₹720,₹696,https://www.1mg.com/otc/bakson-s-homeopathy-biocombination-28-tablet-otc694739
434,SBL Colocynthis Dilution 200 CH,30 ml,₹115,₹97,https://www.1mg.com/otc/sbl-colocynthis-dilution-200-ch-otc346213
435,Bakson's Homeopathy Biocombination 20 Tablet,30 ml,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-biocombination-20-tablet-otc694686
436,Bjain Chelidonium Majus Mother Tincture Q,100 ml,₹345,₹251,https://www.1mg.com/otc/bjain-chelidonium-majus-mother-tincture-q-otc445348
437,Hapdco Calendula Plus Lotion,100 ml,₹135,₹128,https://www.1mg.com/otc/hapdco-calendula-plus-lotion-otc357808
438,SBL Plantago Major Mother Tincture Q,30 ml,₹105,₹93,https://www.1mg.com/otc/sbl-plantago-major-mother-tincture-q-otc338430
439,Medisynth Gasgan Pill,25 gm,₹125,₹114,https://www.1mg.com/otc/medisynth-gasgan-pill-otc339286
440,SBL Drops No. 6 (For Joint Pain),30 ml,₹185,₹155,https://www.1mg.com/otc/sbl-drops-no.-6-for-joint-pain-otc329041
441,Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 30X,30 ml,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-magnesium-phosphoricum-biochemic-tablet-30x-otc695221
442,Similia Aconite Dilution 200 CH,30 ml,₹105,₹97,https://www.1mg.com/otc/similia-aconite-dilution-200-ch-otc611734
443,Np's Rumarth Tablet,30 gm,₹125,₹120,https://www.1mg.com/otc/np-s-rumarth-tablet-otc671024
444,Medisynth Kofeez Cough Syrup,120 ml,₹120,₹109,https://www.1mg.com/otc/medisynth-kofeez-cough-syrup-otc672709
445,Bakson's Homeopathy Kof Aid Plus Cough Syrup,450 ml,₹270,₹154,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-plus-cough-syrup-otc659093
446,ADEL 23 Ricura Drop,20 ml,₹310,₹303,https://www.1mg.com/otc/adel-23-ricura-drop-otc326097
447,SBL Bio-Combination 4 Tablet,25 gm,₹110,₹97,https://www.1mg.com/otc/sbl-bio-combination-4-tablet-otc331020
448,Dr. Reckeweg Jaborandi Mother Tincture Q,20 ml,₹270,₹243,https://www.1mg.com/otc/dr.-reckeweg-jaborandi-mother-tincture-q-otc327599
449,Dr. Reckeweg Hydrangea Mother Tincture Q,20 ml,₹360,₹317,https://www.1mg.com/otc/dr.-reckeweg-hydrangea-mother-tincture-q-otc327610
450,Bakson's Homeopathy AC#9 Tablet,200 tablets,₹500,₹445,https://www.1mg.com/otc/bakson-s-homeopathy-ac-9-tablet-otc502623
451,Dr. Reckeweg Ferrum Phosphoricum Biochemic Tablet 6X,20 gm,₹200,₹174,https://www.1mg.com/otc/dr.-reckeweg-ferrum-phosphoricum-biochemic-tablet-6x-otc327880
452,Dr. Reckeweg Ginkgo Biloba Mother Tincture Q,20 ml,₹390,₹343,https://www.1mg.com/otc/dr.-reckeweg-ginkgo-biloba-mother-tincture-q-otc327740
453,Dr Willmar Schwabe Germany Calcarea Phosphorica Biochemic Tablet 6X,20 gm,₹180,₹150,https://www.1mg.com/otc/dr-willmar-schwabe-germany-calcarea-phosphorica-biochemic-tablet-6x-otc516300
454,SBL Drops No. 9 ( For Cough),30 ml,₹185,₹155,https://www.1mg.com/otc/sbl-drops-no.-9-for-cough-otc339778
455,Dr Willmar Schwabe India Tribulus Terrestris Mother Tincture Q,30 ml,₹110,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-tribulus-terrestris-mother-tincture-q-otc391564
456,Dr. Reckeweg R46 Rheumatism Of Forearms And Hands Drop,22 ml,₹285,₹246,https://www.1mg.com/otc/dr.-reckeweg-r46-rheumatism-of-forearms-and-hands-drop-otc326021
457,Similia Moringa Oleifera Mother Tincture Q,30 ml,₹180,₹169,https://www.1mg.com/otc/similia-moringa-oleifera-mother-tincture-q-otc693735
458,ADEL 55 Tinal Spondylitis Drop,20 ml,₹310,₹295,https://www.1mg.com/otc/adel-55-tinal-spondylitis-drop-otc723940
459,Dr. Reckeweg R87 Anti Bacterial Drop,30 ml,₹330,₹310,https://www.1mg.com/otc/dr.-reckeweg-r87-anti-bacterial-drop-otc326038
460,Dr. Reckeweg R54 Memory Drop,22 ml,₹285,₹268,https://www.1mg.com/otc/dr.-reckeweg-r54-memory-drop-otc326014
461,SBL Kali Bichromicum Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-kali-bichromicum-dilution-200-ch-otc348028
462,SBL Pothos Foetidus Mother Tincture Q,30 ml,₹365,₹299,https://www.1mg.com/otc/sbl-pothos-foetidus-mother-tincture-q-otc338428
463,Medisynth Kofeez Cough Syrup,450 ml,₹320,₹290,https://www.1mg.com/otc/medisynth-kofeez-cough-syrup-otc787812
464,Medisynth Diabekoll Non-Sugar Syrup,450 ml,₹320,₹250,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
465,ADEL 13 Fattex Drop,20 ml,₹295,₹256,https://www.1mg.com/otc/adel-13-fattex-drop-otc326108
466,Bakson B69 Sciatica Drop,30 ml,₹185,₹141,https://www.1mg.com/otc/bakson-b69-sciatica-drop-otc388126
467,SBL Acid Nitricum Dilution 30 CH,30 ml,₹100,₹95,https://www.1mg.com/otc/sbl-acid-nitricum-dilution-30-ch-otc338400
468,Dr Willmar Schwabe India Arnica Montana Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/dr-willmar-schwabe-india-arnica-montana-dilution-200-ch-otc372636
469,SBL Acid Chryso Ointment,25 gm,₹75,₹70.5,https://www.1mg.com/otc/sbl-acid-chryso-ointment-otc330970
470,Dr Willmar Schwabe India Nisikind Globules,10 gm,₹125,₹84,https://www.1mg.com/otc/dr-willmar-schwabe-india-nisikind-globules-otc327660
471,Wheezal Sarsa Syrup,450 ml,₹350,₹293,https://www.1mg.com/otc/wheezal-sarsa-syrup-otc715855
472,SBL Sabal Serrulata Dilution 30 CH,30 ml,₹100,₹97.5,https://www.1mg.com/otc/sbl-sabal-serrulata-dilution-30-ch-otc348627
473,Dr. Reckeweg R36 Nerves Disease Drop,22 ml,₹285,₹254,https://www.1mg.com/otc/dr.-reckeweg-r36-nerves-disease-drop-otc326036
474,Bakson's Homeopathy Wart Aid Tablet,75 tablets,₹215,₹170,https://www.1mg.com/otc/bakson-s-homeopathy-wart-aid-tablet-otc326041
475,Bakson's Homeopathy Compound # 46 Slim Tablet,100 tablets,₹135,₹114,https://www.1mg.com/otc/bakson-s-homeopathy-compound-46-slim-tablet-otc503002
476,SBL Stobal Cough Syrup,60 ml,₹70,₹66.2,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328986
477,Dr Willmar Schwabe India Tussistin Plus Cough Syrup With Ginger,100 ml,₹115,₹71,https://www.1mg.com/otc/dr-willmar-schwabe-india-tussistin-plus-cough-syrup-with-ginger-otc407065
478,SBL Colocynthis Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-colocynthis-dilution-30-ch-otc338341
479,SBL Kali Phosphoricum Biochemic Tablet 12X,25 gm,₹110,₹97,https://www.1mg.com/otc/sbl-kali-phosphoricum-biochemic-tablet-12x-otc331043
480,SBL Sepia Dilution 30 CH,30 ml,₹100,₹94.5,https://www.1mg.com/otc/sbl-sepia-dilution-30-ch-otc338225
481,SBL Bio-Combination 5 Tablet,25 gm,₹110,₹100,https://www.1mg.com/otc/sbl-bio-combination-5-tablet-otc331022
482,Bjain Crataegus Oxyacantha Mother Tincture Q,100 ml,₹195,₹129,https://www.1mg.com/otc/bjain-crataegus-oxyacantha-mother-tincture-q-otc445534
483,Dr Willmar Schwabe India Berberis Pentarkan Tablet,20 gm,₹185,₹150,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-pentarkan-tablet-otc328680
484,SBL Caladium Seguinum Dilution 1000 CH,30 ml,₹140,₹125,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-1000-ch-otc346067
485,Bakson's Homeopathy Mig Aid Tablet,75 tablets,₹215,₹180,https://www.1mg.com/otc/bakson-s-homeopathy-mig-aid-tablet-otc327318
486,Bakson's Homeopathy Nasal Aid Spray,10 ml,₹105,₹93.5,https://www.1mg.com/otc/bakson-s-homeopathy-nasal-aid-spray-otc326068
487,SBL Calendula Gel,25 gm,₹75,₹69.8,https://www.1mg.com/otc/sbl-calendula-gel-otc330990
488,New Life NL-4 Gall-B-Tone Drop,30 ml,₹160,₹152,https://www.1mg.com/otc/new-life-nl-4-gall-b-tone-drop-otc489178
489,Dr Willmar Schwabe India Nux Vomica Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/dr-willmar-schwabe-india-nux-vomica-dilution-200-ch-otc394789
490,ADEL 44 Venorbis Drop,20 ml,₹295,₹256,https://www.1mg.com/otc/adel-44-venorbis-drop-otc326083
491,Dr Willmar Schwabe India Avena Sativa Mother Tincture Q,30 ml,₹110,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-avena-sativa-mother-tincture-q-otc390792
492,Dr Willmar Schwabe India Hertone Syrup Sugar Free,100 ml,₹240,₹211,https://www.1mg.com/otc/dr-willmar-schwabe-india-hertone-syrup-sugar-free-otc556657
493,Dr. Reckeweg Antimonium Tart Dilution 30 CH,11 ml,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-antimonium-tart-dilution-30-ch-otc326900
494,Dr. Reckeweg Bio-Combination 19 (BC 19) Tablet,20 gm,₹200,₹172,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-19-bc-19-tablet-otc326265
495,Dr. Reckeweg Titanium Trituration Tablet 3X,20 gm,₹255,₹240,https://www.1mg.com/otc/dr.-reckeweg-titanium-trituration-tablet-3x-otc326927
496,Dr. Reckeweg R60 Blood Purifier Drop,22 ml,₹285,₹262,https://www.1mg.com/otc/dr.-reckeweg-r60-blood-purifier-drop-otc326005
497,Dr Willmar Schwabe Germany Serum Anguillae Dilution 6X,20 ml,₹310,₹295,https://www.1mg.com/otc/dr-willmar-schwabe-germany-serum-anguillae-dilution-6x-otc672422
498,SBL Spongia Tosta Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-spongia-tosta-dilution-200-ch-otc348727
499,ADEL 79 Ferrodona Tonic,250 ml,₹115,MRP₹870,https://www.1mg.com/otc/adel-79-ferrodona-tonic-otc327719
500,SBL Mercurius Solubilis Dilution 200 CH,30 ml,₹115,₹103,https://www.1mg.com/otc/sbl-mercurius-solubilis-dilution-200-ch-otc348311
501,Dr Willmar Schwabe India Tussikind Tablet,10 gm,₹145,₹129,https://www.1mg.com/otc/dr-willmar-schwabe-india-tussikind-tablet-otc327657
502,Dr. Reckeweg R81 Analgesic Drop,22 ml,₹285,₹254,https://www.1mg.com/otc/dr.-reckeweg-r81-analgesic-drop-otc327384
503,Medisynth Alfamalt Forte Malt,450 gm,₹300,₹282,https://www.1mg.com/otc/medisynth-alfamalt-forte-malt-otc356954
504,SBL Causticum Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-causticum-dilution-30-ch-otc338354
505,SBL Argentum Nitricum Dilution 30 CH,30 ml,₹100,₹80,https://www.1mg.com/otc/sbl-argentum-nitricum-dilution-30-ch-otc338375
506,SBL Wiesbaden Dilution 30 CH,30 ml,₹100,₹89,https://www.1mg.com/otc/sbl-wiesbaden-dilution-30-ch-otc348695
507,Hapdco Aqui Plus Face Wash,50 ml,₹99,₹88,https://www.1mg.com/otc/hapdco-aqui-plus-face-wash-otc357742
508,SBL Ferrumsip Syrup,180 ml,₹190,₹179,https://www.1mg.com/otc/sbl-ferrumsip-syrup-otc328997
509,ADEL 20 Proaller Drop,20 ml,₹310,₹247,https://www.1mg.com/otc/adel-20-proaller-drop-otc326099
510,Wheezal WL28 Piles Drop,30 ml,₹175,₹161,https://www.1mg.com/otc/wheezal-wl28-piles-drop-otc387902
511,SBL Hydrastis Canadensis Dilution 30 CH,30 ml,₹100,₹90,https://www.1mg.com/otc/sbl-hydrastis-canadensis-dilution-30-ch-otc347870
512,Bhargava Angel Gloss Complexion Cream,30 gm,₹110,₹97,https://www.1mg.com/otc/bhargava-angel-gloss-complexion-cream-otc327592
513,New Life Bach Flower White Chestnut 30,30 ml,₹125,₹116,https://www.1mg.com/otc/new-life-bach-flower-white-chestnut-30-otc386636
514,Dr Willmar Schwabe India Alpha - TS Drop,30 ml,₹125,₹114,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-ts-drop-otc325917
515,SBL Aesculus Hippocastanum Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-aesculus-hippocastanum-dilution-200-ch-otc345708
516,SBL Symphytum Officinale Mother Tincture Q,30 ml,₹150,₹110,https://www.1mg.com/otc/sbl-symphytum-officinale-mother-tincture-q-otc338413
517,Bakson's Homeopathy Phytolacca Berry Tablet,200 tablets,₹500,₹445,https://www.1mg.com/otc/bakson-s-homeopathy-phytolacca-berry-tablet-otc502895
518,Dr Willmar Schwabe India Aspidosperma Mother Tincture Q,30 ml,₹220,₹207,https://www.1mg.com/otc/dr-willmar-schwabe-india-aspidosperma-mother-tincture-q-otc390789
519,Dr. Reckeweg Pulsatilla Dilution 30 CH,11 ml,₹145,₹136,https://www.1mg.com/otc/dr.-reckeweg-pulsatilla-dilution-30-ch-otc326477
520,SBL Homeodent Tooth Paste Gel,100 gm,₹145,MRP₹75,https://www.1mg.com/otc/sbl-homeodent-tooth-paste-gel-otc330964
521,SBL Dibonil Tablet,25 gm,₹165,₹155,https://www.1mg.com/otc/sbl-dibonil-tablet-otc326102
522,SBL Symphytum Officinale Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-symphytum-officinale-dilution-200-ch-otc348814
523,Allen A89 Cholesterol Drop,30 ml,₹170,₹163,https://www.1mg.com/otc/allen-a89-cholesterol-drop-otc330355
524,SBL Aurum Muriaticum Natronatum Trituration Tablet 3X,25 gm,₹300,₹282,https://www.1mg.com/otc/sbl-aurum-muriaticum-natronatum-trituration-tablet-3x-otc339037
525,SBL Conium Maculatum Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-conium-maculatum-dilution-200-ch-otc346425
526,Dr Willmar Schwabe India Justicia Adhatoda Mother Tincture Q,30 ml,₹110,₹93,https://www.1mg.com/otc/dr-willmar-schwabe-india-justicia-adhatoda-mother-tincture-q-otc391207
527,Dr. Reckeweg Urtica Urens Mother Tincture Q,20 ml,₹270,₹254,https://www.1mg.com/otc/dr.-reckeweg-urtica-urens-mother-tincture-q-otc327130
528,Dr. Reckeweg Ruta Graveolens Dilution 200 CH,11 ml,₹170,₹160,https://www.1mg.com/otc/dr.-reckeweg-ruta-graveolens-dilution-200-ch-otc331692
529,Bakson's Homeopathy Calendula Ointment,25 gm,₹75,₹66,https://www.1mg.com/otc/bakson-s-homeopathy-calendula-ointment-otc327242
530,SBL Antimonium Tartaricum Dilution 200 CH,30 ml,₹115,₹102,https://www.1mg.com/otc/sbl-antimonium-tartaricum-dilution-200-ch-otc345892
531,Dr Willmar Schwabe India Syzygium Jambolanum Trituration Tablet 1X,20 gm,₹175,₹165,https://www.1mg.com/otc/dr-willmar-schwabe-india-syzygium-jambolanum-trituration-tablet-1x-otc325930
532,SBL Graphites Ointment,25 gm,₹75,₹66.8,https://www.1mg.com/otc/sbl-graphites-ointment-otc330997
533,SBL Orthomuv Massage Oil,60 ml,₹100,₹98.5,https://www.1mg.com/otc/sbl-orthomuv-massage-oil-otc329001
534,Dr. Reckeweg Aspidosperma Mother Tincture Q,20 ml,₹360,₹338,https://www.1mg.com/otc/dr.-reckeweg-aspidosperma-mother-tincture-q-otc327797
535,Bhargava Thunder-M Tablet,30 tablets,₹293,₹272,https://www.1mg.com/otc/bhargava-thunder-m-tablet-otc327418
