,Name,Brand,Key Ingredients,Benifits,Rating,No_of_Rating
284,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
285,Essentia Aurea Gold Drop,Dr Willmar Schwabe India Pvt Ltd,Crataegus Oxycatha,"Regulates the pulse, lowers the blood pressure",4.6,351 Ratings
286,Dr. Reckeweg Carbo Veg Dilution 200 CH,Dr Reckeweg & Co,"Relieves flatulence, stomach cramps and indigestion",Helps fight against constipation,4.7,752 Ratings
287,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
288,Dr. Reckeweg Bio-Combination 17 (BC 17) Tablet,Dr Reckeweg & Co,Calcarea phosphorica,Helps in relieving haemorrhoids,4.4,207 Ratings
289,SBL Ginkgo Biloba Mother Tincture Q,SBL Pvt Ltd,Ginkgo biloba,Regulates high blood pressure and arteriosclerosis,4.6,284 Ratings
290,SBL Avena Sativa Mother Tincture Q,SBL Pvt Ltd,It is used as an energy booster for males and in improving immunity,Natural supplement for energy and immunity,4.5,443 Ratings
291,Bakson's Homeopathy Astha Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,This formula helps manage recurring attacks of cough and cold,Helps fight chronic bronchitis,4.4,79 Ratings
292,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
293,SBL Caladium Seguinum Dilution 30 CH,SBL Pvt Ltd,Primarily used for the treatment of sexual and lung disorders in men,Treats conditions related to sexual exhaustion in men,4.2,780 Ratings
294,Dr. Reckeweg R51 Thyroid Intoxication Drop,Dr Reckeweg & Co,Belladona D30,It helps in the management of thyroid toxicity,4.6,185 Ratings
295,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
296,SBL Calendula Officinalis Mother Tincture Q,SBL Pvt Ltd,Highly effective in the treatment of injuries in any part of the body,Effective in the management of injuries in any part of the body,4.6,489 Ratings
297,Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Regulates blood pressure,Reduces headache,4.6,380 Ratings
298,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
299,NA,NA,NA,NA,NA,NA
300,Dr. Reckeweg R23 Eczema Drop,Dr Reckeweg & Co,Apis mellifica,Effective for managing eczema,4.5,237 Ratings
301,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
302,SBL Tranquil Tablet,SBL Pvt Ltd,The tablets can help improve mental stability,"It helps relieve stress, anxiety and depression",4.6,357 Ratings
303,Dr. Reckeweg R43 Bronchial Drop,Dr Reckeweg & Co,Arsenicum album,It helps in the treatment of asthma,4.5,151 Ratings
304,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
305,SBL Bio-Combination 19 Tablet,SBL Pvt Ltd,"Ferrum phosphoricum 3x HPI, Kali sulphuricum 3x HPI, Magnesium phosphoricum 3x HPI, Natrum sulphuricum 3x HPI, In equal proportion , Excipients q. s. to 1 tablet of 100mg",Alleviates joint and muscle pain,4.5,424 Ratings
306,Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,It may improve the functioning of the male sexual organ ,It may maintain men's reproductive health ,4.1,627 Ratings
307,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
308,SBL Nixocid Syrup,SBL Pvt Ltd,Nixocid Syrup regulates bile production and helps restore enzyme balance,Helps restore enzyme balance,4.5,303 Ratings
309,SBL Acidum Phosphoricum Mother Tincture Q,SBL Pvt Ltd,Treats complications associated with mental as well as emotional trauma,Alleviates headaches and eye soreness,4.5,307 Ratings
310,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
311,ADEL 12 Dercut Drop,Adel Pekana Germany,Effective in severe itching with redness of the skin for complete skin protection,Primarily used for the treatment of various skin issues,4.4,218 Ratings
312,SBL Pulsatilla Nigricans Dilution 200 CH,SBL Pvt Ltd,Helpful in treating dry cough with a painful throat,An effective solution for multiple health concerns,4.6,762 Ratings
313,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
314,Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Effective in the treatment of kidney stones and pains associated with it,Reduces arthritic pains in legs beginning from the back,4.4,315 Ratings
315,ADEL 17 Glautaract Drop,Adel Pekana Germany,Aurum chloratum,Natural formulation that acts as excellent nourishment for eyes,4.5,194 Ratings
316,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
317,SBL Cholesterinum Trituration Tablet 3X,SBL Pvt Ltd,Cholesterinum is an effective remedy for the treatment of high cholesterol,Acts as a liver tonic,4.6,341 Ratings
318,SBL Hamamelis Virginica Mother Tincture Q,SBL Pvt Ltd,Hamamelis Virginica,Helps in the treatment of pains associated with haemorrhages and haemorrhoids,4.5,243 Ratings
319,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
320,Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,"Passiflora Incarnata (whole passion flower plant, freshly obtained or dried out leaves)",Most reliable remedy in insomnia due to pain and inflammatory conditions in acute diseases,4.6,362 Ratings
321,Hapdco Marks Go Cream,HAPDCO,Curcuma longa,Facilitates lightening of stretch marks and scars,4.1,362 Ratings
322,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
323,Dr. Reckeweg Magnesium Phosphoricum Biochemic Tablet 6X,Dr Reckeweg & Co,Effective for headaches worsened by mental pressure and cold,Effective management for a range of health issues,4.5,182 Ratings
324,Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,Improves digestion and increases appetite,Improves digestion,4.4,205 Ratings
325,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
326,Dr Willmar Schwabe India Cydonia Vulgaris Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,It can be used as an energy tonic,Increases energy and stamina levels,4.2,398 Ratings
327,SBL Acidum Phosphoricum Dilution 200 CH,SBL Pvt Ltd,Treats complications associated with mental as well as emotional trauma,"Maintains concentration, focus, memory, and overall mood",4.5,414 Ratings
328,Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Rauvolfia Serpentina,Homeopathic formulation that has antipsychotic and anti hypertensive action,4.5,285 Ratings
329,ADEL 39 Apo-Sciatica Drop,Adel Pekana Germany,Arnica montana 6X,Regulates the metabolism of the liver and the eliminating power of the kidneys,4.4,343 Ratings
330,Bakson's Homeopathy Spondy Aid Drop,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Bakson's Spondy Aid Drops is a homoeopathic medicine for back pain that addresses pain, stiffness, and soreness in the back muscles caused by degenerative changes in the spine",Bakson's Spondy Aid Drops is a homoeopathic medicine for back pain caused by spine degeneration,4.5,256 Ratings
331,ADEL 9 Cri-Regen Drop,Adel Pekana Germany,Cynara scolymus,"Aids in moisturising, reconstructing, and volumizing the hair",4.4,143 Ratings
332,SBL Ruta Graveolens Dilution 200 CH,SBL Pvt Ltd,Ruta Graveolens,Manages concerns associated with arthritic and rheumatic pains,4.6,729 Ratings
333,Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Olein in the berries helps in maintaining weight and strength,Helps manage excessive cough and cold,4.5,312 Ratings
334,Bakson's Homeopathy Hite Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Baryta carbonica 6x,Promotes natural height growth in children,4.1,70 Ratings
335,Dr. Reckeweg Thuja Occ Dilution 200 CH,Dr Reckeweg & Co,Thuja Occidentalis,"Helps to provide relief in case of Rheumatic, Arthritic pains, and chronic headaches",4.5,600 Ratings
336,SBL Kali Bichromicum Dilution 30 CH,SBL Pvt Ltd,Pain and fullness in the region between the eyebrows are reduced,Reduces pain and fullness between eyebrows,4.5,432 Ratings
337,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
338,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
339,ADEL 2 Apo-Ham Drop,Adel Pekana Germany,Acidum nitricum,It is beneficial in the case of piles and fistula,4.6,171 Ratings
340,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
341,Bangalore Bio-Plasgens Soundarya Complexion Cream,Bangalore Bio-Plasgens,Berberis aquifolium,NA,4.3,324 Ratings
342,Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,Wheezal Homeo Pharma,Arnica Montana Q,Nourishes and strengthens the hair,4.2,299 Ratings
343,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
344,Haslab Laxyalo Caplet,HASLAB,Phenolphthalein 1x,Improves the digestive process,4.4,53 Ratings
345,SBL AF-Tabs Tablet,SBL Pvt Ltd,Gelsemium sempervirens,It helps to relieve harsh and dry cough with pain in the chest,4.7,239 Ratings
346,SBL Cephalandra Indica Mother Tincture Q,SBL Pvt Ltd,An effective remedy for the treatment of mouth ulcers,"Effective remedy for managing various ailments including mouth ulcers, skin-related concerns, gout, and cough",4.6,364 Ratings
347,New Life Aller-N Drop,New Life Laboratories Pvt Ltd,"Effective for mucus membrane conditions of the nose, throat, and lungs",Maintains a healthy immune system,4.3,226 Ratings
348,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
349,Dr. Reckeweg Belladonna Dilution 30 CH,Dr Reckeweg & Co,Effective in the treatment of spasms of the gastrointestinal tracts,Alleviates gastrointestinal spasms,4.7,417 Ratings
350,Allen Snorid Drop,Allen Homoeo & Herbal Products Ltd,Arsenicum album,Helps in the management of snoring disorders,4.2,174 Ratings
351,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
352,SBL Urtica Urens Mother Tincture Q,SBL Pvt Ltd,Urtica Urens,It is used for the treatment of skin disorders such as burns and insect bites,4.6,470 Ratings
353,Haslab Drox 24 Sciatec Drop,HASLAB,Colocynth 3x,Relieves pressure on the sciatic nerve,4.4,118 Ratings
354,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
355,Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Hydrastis canadensis,"It can help manage tenacious discharge from the nose, eyes and ear",4.5,180 Ratings
356,SBL Homeocal Tablet,SBL Pvt Ltd,Calcerea carbonica 3x,Safe to use formulation for osteoporosis,4.6,606 Ratings
357,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
358,Wheezal Jaborandi Hair Treatment Oil,Wheezal Homeo Pharma,Jaborandi Q,Helps to counter dandruff and prevents hair loss,4.3,640 Ratings
359,Dr Willmar Schwabe India Ruck-Pain,Dr Willmar Schwabe India Pvt Ltd,Acetanilidum 2X 10%,It can help manage cervical spondylitis,4.5,96 Ratings
360,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
361,Dr. Reckeweg Biochemic Combination 25 (BC 25) Tablet,Dr Reckeweg & Co,Natrum phosphoricum,Helps in reducing hyperacidity,4.6,181 Ratings
362,SBL Thuja Occidentalis Mother Tincture Q,SBL Pvt Ltd,Thuja Occidentalis,Removes unwanted moles and warts,4.5,278 Ratings
363,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
364,Dr. Reckeweg R89 Hair Care Drop (30ml Each),Dr Reckeweg & Co,Hair fall,Helps prevent hair fall,4,11 Ratings
365,SBL Antimonium Tartaricum Dilution 30 CH,SBL Pvt Ltd,It helps in reducing weakness and exhaustion,It helps in treating cough and relieving congestion in the chest,4.5,453 Ratings
366,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
367,Lord's Ylo Tablet,Lord's Homoeopathic Laboratory Pvt Ltd,Facilitates regular bowel movements,Effective laxative tablets for constipation relief,4.5,113 Ratings
368,ADEL 36 Pollon Drop,Adel Pekana Germany,Acidum phosphoricum 6X,Stimulates the blood circulation in the groin and lowers the blood pressure,4.3,195 Ratings
369,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
370,Bakson's Homeopathy Calci Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Calcarea carbonica HPI 3x,"Provides holistic calcium supports for pregnancy, menopause, and aging",4.4,82 Ratings
371,SBL Arnica Montana Herbal Shampoo With Conditioner,SBL Pvt Ltd,Arnica,Helps manage hair problems like dandruff and hair fall,4.4,423 Ratings
372,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
373,Dr Willmar Schwabe India Fucus Vesiculosus Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,It helps manage non-toxic goitre and obesity,Helpful in case of thyroid enlargement,4.4,109 Ratings
374,SBL Fucus Vesiculosus Mother Tincture Q,SBL Pvt Ltd,Treats non-toxic goitre and obesity,"Aids in reducing flatulence, managing digestion, and relieving constipation",4.6,175 Ratings
375,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
376,Wheezal Power Up+ Drop,Wheezal Homeo Pharma,AgnusCastus Q,"Indicated in male impotency, erectile dysfunction, spermatorrhoea, lack of libido, priapism and neurasthenia",3.8,99 Ratings
377,Dr Willmar Schwabe India Withania Somnifera (Aswagandha) Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Withania Somnifera,Helps lower blood sugar levels,4.5,310 Ratings
378,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
379,Dr. Reckeweg R95 Alfalfa Tonic,Dr Reckeweg & Co,It helps reduce physical and mental tiredness,"Helps to overcome lack of appetite, loss of weight, weariness, anxiety, and impotence",4.5,213 Ratings
380,SBL Causticum Dilution 200 CH,SBL Pvt Ltd,Natrum causticum,Effective in managing concerns associated with liver,4.5,596 Ratings
381,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
382,SBL Diaboherb Capsule,SBL Pvt Ltd,NA,Helps to manage the blood sugar levels,4.4,84 Ratings
383,Bakson's Homeopathy Natrum Sulphuricum Biochemic Tablet 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Natrum sulphuricum,It can help to maintain good liver health,4.6,43 Ratings
384,Dr. Reckeweg Carduus Mar Mother Tincture Q,Dr Reckeweg & Co,Primarily used to correct disorders of the liver caused due to alcohol abuse,Manages liver disorders,4.6,103 Ratings
385,Bakson's Homeopathy Kali Phosphoricum Biochemic Tablet 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"It is helpful in prostration, loss of mental vigor, and Depression",Manages  Neurasthenia,4.5,38 Ratings
386,SBL Vertefine Drop,SBL Pvt Ltd,Bryonia alba 3x HPI,Effective lumbago management,4.5,338 Ratings
387,Bakson's Homeopathy Ferrum Phosphoricum Biochemic Tablet 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Helps deal with incontinence,Helps in reducing weakness and fatigue,4.5,22 Ratings
388,SBL Drops No. 1 (For Hair Care),SBL Pvt Ltd,Arnica Montana,Promotes healthy hair growth,4.3,179 Ratings
389,Dr. Reckeweg R55 All Kinds Of Injuries Drop,Dr Reckeweg & Co,Arnica,It helps in healing luxation and sprain,4.6,207 Ratings
390,Dr. Reckeweg R17 Glandular Enlargement Drop,Dr Reckeweg & Co,Acidum lacticum,Contains anti-inflammatory properties,4.5,134 Ratings
391,ADEL 6 Apo-Strum Drop,Adel Pekana Germany,NA,Supports intestinal metabolism and regulates heart function damaged by a toxic thyroid condition,4.5,138 Ratings
392,Dr. Reckeweg Caladium Seg Dilution 1000 CH,Dr Reckeweg & Co,Primarily used for the management of lung disorders in men,Relieves swelling and itching ,4.1,354 Ratings
393,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
394,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
395,Dr. Reckeweg Bryonia Alba Dilution 30 CH,Dr Reckeweg & Co,"It is primarily used for the treatment of influenza, coryza, arthritis and rheumatism","It is primarily used for the treatment of influenza, coryza, arthritis and rheumatism",4.7,465 Ratings
396,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
397,Dr Willmar Schwabe India Alpha - MP Drop,Dr Willmar Schwabe India Pvt Ltd,Rhus toxicodendron 3x 10%,Provides an effective relief from various muscular pains,4.4,289 Ratings
398,Dr. Reckeweg Cholesterinum Trituration Tablet 3X,Dr Reckeweg & Co,Cholesterinum is an effective remedy for the treatment of high cholesterol,Relieves pain in the liver region,4.6,223 Ratings
399,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
400,SBL Kali Muriaticum Biochemic Tablet 6X,SBL Pvt Ltd,Helps to remove dandruff with white crusts,Reduces dandruff,4.6,367 Ratings
401,SBL Allium Cepa Dilution 30 CH,SBL Pvt Ltd,"Provides effective relief from cold, catarrh and cough",Offers remedy for respiratory-related concerns,4.5,497 Ratings
402,SBL Natrum Muriaticum Biochemic Tablet 6X,SBL Pvt Ltd,Sun stoke,Manages sun stroke and headache,4.6,340 Ratings
403,Dr Willmar Schwabe India Topi Thuja Cream,Dr Willmar Schwabe India Pvt Ltd,Thuja occidentalis 10% w/w,Natural antibacterial and antifungal properties,4.3,317 Ratings
404,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
405,SBL Hypericum Perforatum Dilution 200 CH,SBL Pvt Ltd,Hypericum Perforatum,Relieves headaches and nervousness,4.7,528 Ratings
406,Bakson's Homeopathy Kof Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Bryonia Alba 3x,Helps manage common cold and flu-like symptoms,4.4,109 Ratings
407,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
408,Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,Mother Tincture Q is extremely helpful in treating genito-urinary organ infection,Increases the metabolic rate and speed up the fat-burning process,4.6,375 Ratings
409,Dr. Reckeweg R64 Albuminuria Drop,Dr Reckeweg & Co,Helonias dioica D3,Helps in the management of urinary infections,4.5,153 Ratings
410,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
411,Dr Willmar Schwabe India Topi Berberis Aquifolium Cream,Dr Willmar Schwabe India Pvt Ltd,It is helpful in relieving itching in case of eczema,Helps prevent itching due to eczema,4.4,217 Ratings
412,Wheezal Mixture Syrup,Wheezal Homeo Pharma,Bryonia alb,Helps reduces violent bouts of a cough,4.7,237 Ratings
413,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
414,Dr Willmar Schwabe Germany Damiaplant Drop,Dr Willmar Schwabe India Pvt Ltd,Damiana,Helps to overcome weakness,4.1,180 Ratings
415,SBL Drops No. 3 (For UTI),SBL Pvt Ltd,Berberis vulgaris,"Provides relief from burning, itching and frequent urination",4.6,251 Ratings
416,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
417,Bakson's Homeopathy AC#9 Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Acidum phosphoricum HPI 3x,Provides holistic remedy for hairfall and thinning hair,4.1,59 Ratings
418,SBL Ocimum Sanctum Mother Tincture Q,SBL Pvt Ltd,It is used in the treatment of renal colic and renal pain with vomiting,Useful in the treatment of renal colic,4.6,251 Ratings
419,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
420,SBL Mercurius Solubilis Dilution 30 CH,SBL Pvt Ltd,Reduces the sweating or nose bleeding during the day and night and the heat of bed in cold and damp weather,Reduces sweating and nosebleeds,4.6,549 Ratings
421,SBL Natrum Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,Natrum Phosphoricum with alcohol,Manages concerns associated with digestion,4.6,387 Ratings
422,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
423,ADEL 25 Somcupin Drop,Adel Pekana Germany,Argentum nitricum,An effective formulation for insomnia and disturbed sleep,4.2,233 Ratings
424,Dr. Reckeweg Bryonia Alba Dilution 200 CH,Dr Reckeweg & Co,"It is primarily used for the treatment of influenza, coryza, arthritis and rheumatism","It is primarily used for the treatment of influenza, coryza, arthritis and rheumatism",4.7,465 Ratings
425,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
426,Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop,Dr Reckeweg & Co,Hepar sulfur,It helps in reducing acne breakouts,4.2,107 Ratings
427,Dr. Reckeweg Aconitum Napellus Dilution 200 CH,Dr Reckeweg & Co,Extract of the plant monkshood,Helps in relieving heaviness and burning headache,4.7,578 Ratings
428,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
429,Dr. Reckeweg Vita-C 15 Sedative Nerve Tonic,Dr Reckeweg & Co,"It reduces mental and physical weakness, drowsiness and sexual dysfunction","It is a homeopathic sedative that helps manage anxiety, stress and sleep problems",4.7,25 Ratings
430,SBL Aesculus Ointment,SBL Pvt Ltd,Aesculuship pocastanum Q,Helps with haemorrhoids,4.5,236 Ratings
431,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
432,Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"For cramps and spasmodic affections/pain, neuralgia and sciatica",Manages cramps and sciatica,4.6,70 Ratings
433,Dr. Reckeweg Baryta Carb Dilution 30 CH,Dr Reckeweg & Co,"Reduces the loss of memory, short attention span, confusion, language difficulties, irritability and impaired judgement",Helps enhance memory,4.5,204 Ratings
